participant_id,label,mean,std,min,max,ptp,energy,median,skew
AP03,0,-1.7476732161323683,8.815495445115399,-21.0,15.0,36.0,78102.0,-3.0,0.0797296863635418
AP03,0,-1.8490175801447777,7.306692301976406,-18.0,11.0,29.0,54932.0,-3.0,0.062375137687873956
AP03,0,-2.8634953464322646,8.516179709323806,-25.0,11.0,36.0,78061.0,-4.0,-0.23507566971552818
AP03,0,-2.8790072388831436,10.393441365582568,-25.0,18.0,43.0,112474.0,-4.0,0.05682208855016692
AP03,0,-0.8469493278179938,10.740491983425912,-21.0,18.0,39.0,112245.0,-2.0,-0.027269883304259623
AP03,0,-1.0879007238883143,9.957797630444325,-24.0,17.0,41.0,97030.0,-2.0,-0.09428393594102277
AP03,0,-2.423991726990693,9.68352172298904,-25.0,14.0,39.0,96358.0,-2.0,-0.204463846728927
AP03,0,-2.6328852119958635,9.700087647140695,-25.0,14.0,39.0,97690.0,-3.0,-0.11843306849037519
AP03,0,-2.4022750775594623,9.343525206429002,-25.0,14.0,39.0,90001.0,-4.0,-0.096012503011728
AP03,0,-2.5687693898655635,8.789223026060636,-22.0,13.0,35.0,81082.0,-4.0,0.01875998089971166
AP03,0,-2.90382626680455,9.302903208700922,-23.0,13.0,36.0,91842.0,-4.0,-0.05776906730978677
AP03,0,-3.097207859358842,10.6350993712431,-23.0,15.0,38.0,118649.0,-4.0,-0.12778243034834177
AP03,0,-2.541882109617373,10.846777826561224,-23.0,15.0,38.0,120018.0,-4.0,-0.06684739948966448
AP03,0,-2.642192347466391,9.855323578967166,-22.0,14.0,36.0,100673.0,-4.0,-0.03436623224043406
AP03,0,-2.7631851085832473,8.616425080532155,-21.0,12.0,33.0,79176.0,-4.0,-0.021675877626086623
AP03,0,-2.68459152016546,9.668272422604485,-27.0,17.0,44.0,97360.0,-3.0,-0.19350153237012782
AP03,0,-3.3216132368148914,11.40868961998895,-27.0,17.0,44.0,136532.0,-4.0,-0.08630580141770122
AP03,0,-2.6277145811789038,11.934931188354604,-27.0,19.0,46.0,144419.0,-3.0,-0.09616031344203542
AP03,0,-3.344364012409514,12.172847145834483,-31.0,19.0,50.0,154104.0,-3.0,-0.16388893055625794
AP03,0,-3.4002068252326785,12.159663426337707,-31.0,17.0,48.0,154158.0,-5.0,-0.08216344542974915
AP03,0,-2.1789038262668043,11.069585750363437,-30.0,17.0,47.0,123083.0,-2.0,-0.16990818944487313
AP03,0,-3.3857290589451914,10.128191943198773,-25.0,13.0,38.0,110280.0,-3.0,-0.23392041391202215
AP03,0,-3.6814891416752844,10.466368982854044,-25.0,14.0,39.0,119036.0,-5.0,0.017075187900929278
AP03,0,-3.902792140641158,10.600036216851958,-31.0,14.0,45.0,123382.0,-5.0,-0.1902301002990571
AP03,0,-2.5553257497414683,9.376795385334868,-31.0,13.0,44.0,91337.0,-3.0,-0.505836011744468
AP03,0,-1.5077559462254395,8.308658584702421,-22.0,13.0,35.0,68954.0,-3.0,-0.042079876095355115
AP03,0,-2.985522233712513,10.818221506221587,-32.0,14.0,46.0,121791.0,-3.0,-0.46478580447059337
AP03,0,-2.595656670113754,11.98304998000006,-32.0,15.0,47.0,145370.0,-1.0,-0.49326853016190597
AP03,0,-2.440537745604964,11.73784353968489,-27.0,15.0,42.0,138990.0,-2.0,-0.3279845842336932
AP03,0,-2.6132368148914167,11.786420181360917,-27.0,15.0,42.0,140939.0,-3.0,-0.26824166461400284
AP03,0,-2.183040330920372,11.29873572657826,-26.0,15.0,41.0,128057.0,-2.0,-0.2995518486047936
AP03,0,-2.029989658738366,11.585308346918145,-31.0,15.0,46.0,133775.0,-2.0,-0.4860211286881594
AP03,0,-1.3784901758014478,10.797538527746799,-31.0,15.0,46.0,114577.0,0.0,-0.5605046319551233
AP03,0,-1.3971044467425027,9.602196830061219,-26.0,14.0,40.0,91047.0,-1.0,-0.34279081003397477
AP03,0,-3.2202688728024818,9.857310985540623,-27.0,13.0,40.0,103988.0,-3.0,-0.29705147476884836
AP03,0,-3.547052740434333,11.185269208199081,-27.0,14.0,41.0,133148.0,-3.0,-0.21774470996987977
AP03,0,-3.4446742502585317,12.75360281527506,-31.0,14.0,45.0,168761.0,-3.0,-0.2992556445670144
AP03,0,-3.343329886246122,11.561445685865793,-31.0,14.0,45.0,140065.0,-3.0,-0.3186167312572539
AP03,0,-2.126163391933816,9.525701806051451,-24.0,12.0,36.0,92116.0,-3.0,-0.07527327732353609
AP03,0,-2.6328852119958635,10.14948632432353,-28.0,15.0,43.0,106316.0,-4.0,-0.18241494972559552
AP03,0,-2.266804550155119,11.34470544801555,-30.0,17.0,47.0,129424.0,-2.0,-0.3120814367455819
AP03,0,-2.389865563598759,11.280114041285609,-30.0,17.0,47.0,128565.0,-2.0,-0.2844543452159855
AP03,0,-3.1489141675284387,12.520368363200564,-34.0,21.0,55.0,161175.0,-1.0,-0.48451192861674164
AP03,0,-2.0858324715615306,13.71122909945139,-34.0,21.0,55.0,186001.0,1.0,-0.5599146061839854
AP03,0,-2.3050672182006204,12.101646591607281,-31.0,21.0,52.0,146755.0,-1.0,-0.347908620666174
AP03,0,-3.6308169596690796,12.242770133109714,-33.0,14.0,47.0,157687.0,-2.0,-0.4432470311854639
AP03,0,-3.5336091003102377,12.678861305184768,-33.0,16.0,49.0,167523.0,-1.0,-0.5360394757279429
AP03,0,-3.923474663908997,12.56726831128333,-37.0,16.0,53.0,167610.0,-1.0,-0.6459679931792522
AP03,0,-4.412616339193382,13.674543491116863,-38.0,15.0,53.0,199651.0,-2.0,-0.6096205154885151
AP03,0,-4.117890382626681,12.93746635449189,-38.0,14.0,52.0,178252.0,-3.0,-0.5524879634816738
AP03,0,-3.7797311271975182,11.930775978099659,-32.0,13.0,45.0,151461.0,-3.0,-0.43768360722924404
AP03,0,-3.21406411582213,12.604996002678202,-33.0,14.0,47.0,163632.0,-2.0,-0.5464667842895303
AP03,0,-4.027921406411582,12.90864592950102,-34.0,16.0,50.0,176823.0,-2.0,-0.530981950523846
AP03,0,-3.4788004136504656,13.080425605901361,-34.0,18.0,52.0,177154.0,-2.0,-0.47433457825959285
AP03,0,-3.78076525336091,17.379977610788583,-61.0,18.0,79.0,305918.0,2.0,-1.3196999284385207
AP03,0,-0.41468459152016546,15.865147570186208,-61.0,19.0,80.0,243563.0,3.0,-2.1359022635414733
AP03,0,3.093071354705274,5.496226361536216,-10.0,19.0,29.0,38463.0,2.0,0.4412537749662284
AP03,0,1.0258531540847984,4.447365820530327,-10.0,10.0,20.0,20144.0,1.0,0.14593554590580424
AP03,0,0.05687693898655636,4.098562283342815,-10.0,10.0,20.0,16247.0,-1.0,0.3059805005545015
AP03,0,-5.557394002068253,10.532981864726283,-56.0,8.0,64.0,137148.0,-3.0,-2.4115829779293847
AP03,0,-9.761116856256463,13.797764382624571,-64.0,10.0,74.0,276231.0,-7.0,-1.7944400251978987
